id,source,claim,check,result,verdict,true_statement
C-RM-01,README.md:337,All 74 entities appear,tests/entities.py:collect over PLATFORM_LIST,"measured 74, documented 74",true,
C-RM-02,README.md:352,Sensors (59 total),collect(sensor),"measured 59, documented 59",true,
C-RM-03,README.md:~470,Binary Sensors (5 total),collect(binary_sensor),"measured 5, documented 5",true,
C-RM-04,README.md:~482,Buttons (4 total),collect(button),"measured 4, documented 4",true,
C-CONF-01,docs/configuration.md:191,All 65 entities appear at once,collect over PLATFORM_LIST,"measured 74, documented 65",false,the true value is 74
C-ARCH-01,docs/architecture.md:35,65 entities,collect over PLATFORM_LIST,"measured 74, documented 65",false,the true value is 74
C-ARCH-02,docs/architecture.md:35,55 sensors,collect(sensor),"measured 59, documented 55",false,the true value is 59
C-ARCH-03,docs/architecture.md:35,4 binary sensors,collect(binary_sensor),"measured 5, documented 4",false,the true value is 5
C-ARCH-04,docs/architecture.md:35,4 buttons,collect(button),"measured 4, documented 4",true,
C-ARCH-05,docs/architecture.md:35,1 switch,collect(switch),"measured 4, documented 1",false,the true value is 4
C-ARCH-06,docs/architecture.md:35,1 climate,collect(climate),"measured 1, documented 1",true,
C-RM-05,README.md:~465,"Six sensors are disabled by default, named as ECL110 Displace, ECL110 Effective Displace, Contract Comparison, DHW Heavy Day Demand, Valve Target Recommendation and Compressor Frequency Advisor",collect(sensor) -> entity_registry_enabled_default is False,"6 disabled by default: ['Compressor Frequency Advisor', 'Contract Comparison', 'DHW Heavy Day Demand', 'ECL110 Displace', 'ECL110 Effective Displace', 'Valve Target Recommendation']",true,
C-RM-30,README.md:~700,a menu of 13 pages,len(config_flow._OPTION_PAGES) rendered through async_step_*,"measured 21, documented 13",false,the options menu has 21 pages
C-RM-31,README.md:~700,12 you can edit plus a read-only overview,pages whose rendered field count > 0,"measured 20, documented 12",false,20 pages present editable fields; 1 (setup_overview) presents none
C-CONF-30,docs/configuration.md:196,There are 13 pages,len(config_flow._OPTION_PAGES),"measured 21, documented 13",false,there are 21 option pages
C-CONF-31,docs/configuration.md:196,six on the first menu,_OPTION_PAGES rows with menu == top,"measured 6, documented 6",true,
C-CONF-32,docs/configuration.md:196,seven more behind Advanced settings,_OPTION_PAGES rows with menu == advanced,"measured 15, documented 7",false,15 pages sit behind Advanced settings
C-RM-34,README.md advanced-page table,the Advanced settings table lists the pages behind that menu,README table rows vs _OPTION_PAGES advanced labels,"15 rows documented, 15 pages real; undocumented: ['Circulation pumps']",false,1 advanced pages have no row: ['Circulation pumps']
C-CONF-33,docs/configuration.md:216-222,the Advanced settings table lists the pages behind that menu,docs table rows vs _OPTION_PAGES advanced labels,"15 rows documented, 15 pages real; undocumented: ['Circulation pumps']",false,1 advanced pages have no row: ['Circulation pumps']
C-CONF-34,docs/configuration.md:210,the first-menu page is called 'Grid costs',config_flow._OPTION_PAGES label for step 'grid',"measured 'Grid peak tariff', documented 'Grid costs'",false,the true value is 'Grid peak tariff'
