id	sev	class	title	harness	primary_files
D7-01	high	bug	sysid step sized by one-state model of a two-state plant; adopts 0 of 9 cells (null: 9/9 on one-state plant)	tools/audit/round3/D7/sysid_plant.py	sysid.py,thermal_model.py,coordinator.py
D7-02	medium	hygiene	rolling.py:577 guard asserts over an empty set (last_buffer_trajectory: 0 writers/0 readers); live dead attr last_dhw_refused	tools/audit/round3/D7/model_state_sentinel.py	thermal_model.py,optimizer.py,tests/rolling.py
D7-03	medium	bug	_observe_frequency and _observe_compressor_start ingest all 5 contamination arms _learning_frozen rejects	tools/audit/round3/D7/learner_freeze_matrix.py	coordinator.py,freq_control.py
D6-01	medium	bug	options-page inventory stale: 13 pages claimed in README+configuration.md, 21 rendered (8 advanced undocumented)	tools/audit/round3/D6/claims.py	docs/configuration.md,README.md,config_flow.py
D6-02	low	bug	entity-census claims outside README unpinned and stale (65/55/4/1 vs 74/59/5/4)	tools/audit/round3/D6/claims.py	docs/configuration.md,docs/architecture.md,tests/entities.py
D6-03	medium	bug	configuration.md under-declares service fields: simulate_plan 11 vs 16, assign_entity 3 vs 4, apply_topology 3 vs 5	tools/audit/round3/D6/claims.py	docs/configuration.md,services.yaml,services.py
D6-04	low	bug	README removal lists ten .storage files; 12 Store keys constructed (away, boost omitted)	tools/audit/round3/D6/store_probe.py	README.md,away.py,boost.py,coordinator.py
D5-01	medium	hygiene	10 rendered option fields named by no user-facing doc; whole wood-fuel economics group (4 fields) has 0 doc lines	tools/audit/round3/D5/option_doc_coverage.py	docs/configuration.md,config_flow.py,wood_fuel.py
D5-02	low	hygiene	27 comment sites name identifiers that exist nowhere; 18 are the card's private methods, 5 have no counterpart	tools/audit/round3/D5/comment_symbols.py	www/heatpump-optimizer-card.js,optimizer.py
D5-03	low	hygiene	README:194 anchor #switch-and-climate-entity matches no heading (1 broken of 338 links)	tools/audit/round3/D5/linkcheck.py	README.md
D5-04	low	hygiene	README Project status links the superseded plan doc; superseded doc carries no forward pointer	tools/audit/round3/D5/doc_structure.py	README.md,docs/plan-open-issues.md
D10-01	low	hygiene	quality_scale.yaml calls 3 rules todo that the tree satisfies; totals line wrong; nothing reads the file	tools/audit/round3/D10/qs_register.py	quality_scale.yaml
D10-02	low	bug	reauth_confirm.tibber_token is the only 1 of 270 flow fields with no data_description	tools/audit/round3/D10/qs_register.py	strings.json,translations/*.json
D10-03	low	bug	strict-typing unmet: 578 mypy --strict errors in the package, 67 no-untyped-def; no py.typed	tools/audit/round3/D10/strict_typing_rule.sh	coordinator.py,config_flow.py,sensor.py
D10-04	medium	bug	coordinator built without config_entry; hastub signature (*args,**kwargs) makes it undetectable by the whole gate	tools/audit/round3/D10/coordinator_entry_rule.py	coordinator.py,tests/hastub/...update_coordinator.py,tests/ha_contract.py
D1-01	high	bug	NaN in thermal_learning store passes the loader guard; every cycle raises UpdateFailed forever (1 of 2400 mutants)	tools/audit/round3/D1/store_fuzz.py	coordinator.py
D1-02	medium	bug	reload plan handover has no expiry: 7-day-old plan republished with plan_age_minutes 0.0, plan_stale false	tools/audit/round3/D1/lifecycle_realloop.py	__init__.py,coordinator.py
D1-03	high	bug	_age_minutes clamps negative age to 0.0: after backward clock step 0 of 11 dead sensors flagged stale, 0 of 4 learners frozen	tools/audit/round3/D1/stale_clock.py	inputs.py
D2-01	medium	bug	COP strictly decreasing in outdoor temp above cop_flow_reference_temp when cop_flow_carnot on (7 of 7 flow temps)	tools/audit/round3/D2/cop_monotonicity.py	thermal_model.py
D2-02	high	bug	tariff.window_factors walks wall clock while plan walks UTC; DST days bill wrong hour; 180 currency unpriced	tools/audit/round3/D2/dst_window_factors.py	tariff.py,tests/dst_checks.py
D2-03	high	bug	sysid drift column collapses at 0.02C noise; UA 13-25% too low; every such fit passes the 0.3 adoption gate	tools/audit/round3/D2/sysid_bias.py	sysid.py,coordinator.py
D11-01	critical	bug	ruleset 22628467 has no pull_request rule, 0 approvals, admin bypass always; 0 of 39 merged PRs carry a review object	tools/audit/round3/D11/mechanisms.py	(ruleset),docs/decisions/0005,0007
D11-02	high	bug	record is a required context whose job cannot run on a PR: skipped 39 of 39; 11 of 37 red-main heads have only record failing	tools/audit/round3/D11/conformance.py	.github/workflows/governance.yml
D11-03	high	bug	## Approval keyed on title prefix /^policy:/ not on the diff; 32 of 50 rule-text commits merged with it off	tools/audit/round3/D11/approval_gate.py	.claude/workflows/policy_lint.mjs,PULL_REQUEST_TEMPLATE.md
D11-04	medium	bug	no SECURITY.md anywhere and private vulnerability reporting disabled; Scorecard Security-Policy 0/10	tools/audit/round3/D11/standards.py	SECURITY.md
D11-05	medium	bug	5 dispatch prompts read GitHub free text and hold merge_pull_request; 1 of 35 corpus files states any data/instruction boundary	tools/audit/round3/D11/agency.py	.claude/rules/writing-for-agents.md,.claude/workflows/web-*.js
D8-01	medium	bug	wood night advisor gated on config key wood_tank_soc that nothing writes; 0.5 fallback sits between both thresholds; never fired on any install	tools/audit/round3/D8/d8_wood_advisor.py	wood_fuel.py,sensor.py
D8-02	medium	bug	WoodBurnAdvisorSensor has no available override: renders Unknown not Unavailable on every install, enabled by default	tools/audit/round3/D8/d8_matrix.py	sensor.py,binary_sensor.py
D8-03	low	hygiene	36 family splits in the alphabetical entity_id sort (and 36 en, 36 sv); trailing-noun families scatter, worst temperature at 7	tools/audit/round3/D8/d8_ordering.py	strings.json,translations/*.json
D9-01	medium	bug	56.05% of in-solver step-equivalents go to multi-starts that do not improve the incumbent; mean gain 1.18%, zero in 7 of 16 cells	tools/audit/round3/D9/h5_multistart_grid.py	optimizer.py
D9-02	medium	bug	_fuse_advisor_at is memory-only: every restart/reload/options-save doubles the first cycle's solve work (exactly 2.000x)	tools/audit/round3/D9/h1_solve_work.py	coordinator.py
D9-03	medium	bug	#511 in-process fallback starves the loop 83-89% of the solve; no cap on cycles spent there (PROVISIONAL wall)	tools/audit/round3/D9/h4_loop_thread.py	coordinator.py,optimizer.py
D9-04	low	bug	solve worker holds 43-62 MiB resident permanently for a ~0.06% duty cycle; no idle timeout (PROVISIONAL rss)	tools/audit/round3/D9/h3_memory.py	coordinator.py,process_worker.py
D0-01	medium	bug	15 of 32 cells beaten by a strict superset of production's own starts, up to 1.0430%; NOT price optimality (gap LARGER at flat) - basin selection	tools/audit/round3/D0/seed_race.py	optimizer.py,tests/optimality.py
D0-02	low	bug	restarting L-BFGS-B from its own returned point descends further in 9 of 32 cells, up to 1.1703%; price-shaped (flat 10x smaller)	tools/audit/round3/D0/polish_race.py	optimizer.py
D4-01	medium	bug	no-data legend chips 1.90:1 light / 2.36:1 dark, yet not disabled, tabbable and a click persists a hidden-series pref to localStorage	tools/audit/round3/D4/card_ux_defects.mjs	www/heatpump-optimizer-card.js
D4-02	medium	bug	.away-strip is the only block with no CSS: 13px checkbox, 14px label, 0px gap ("AwayReturn") while 29 other controls clear the card's own 24px floor	tools/audit/round3/D4/card_ux_defects.mjs	www/heatpump-optimizer-card.js
D4-03	medium	bug	initial config flow declares 0 section() groupings over 70 fields; options flow declares 34 over the same ground; 55 of 70 grouped there, flat here	tools/audit/round3/D4/flow_ergonomics.py	config_flow.py,strings.json,translations/*.json
D3-01	high	bug	22 of 34 seeded single-line production mutants survive the fast gate PLUS the differential golden gate (64.7%) [PROVISIONAL]	tools/audit/round3/D3/prescreen.py	tests/closures.json,tests/run.sh,tests/env_drift.py
D3-02	high	bug	entity values pinned by shape never by value: 4 of 4 sensor.py mutants survive; a sensor returning None for every state merges green [PROVISIONAL]	tools/audit/round3/D3/prescreen.py	sensor.py,tests/entities.py,tests/golden.py
D3-03	medium	bug	both isfinite admission guards (price shape, comfort margins) deletable with all 10 selected scripts green and 55 fixtures byte-identical [PROVISIONAL]	tools/audit/round3/D3/prescreen.py	price_model.py,accuracy.py,tests/features.py
D3-04	medium	bug	disabling the Open-Meteo irradiance fallback is caught only by structure.py, which calls it an IMPROVEMENT and --record makes the gate green [PROVISIONAL]	tools/audit/round3/D3/prescreen.py	coordinator.py,tests/solar_alignment.py,tests/structure.py
D3-05	low	hygiene	6 of 12 scripts never changed verdict incl. both end-to-end solver scripts; optimality.py 2.8 assertions/solve vs validate.py 22.8 [PROVISIONAL]	tools/audit/round3/D3/analyse.py	tests/validate.py,tests/optimality.py,tests/closures.json
