D0-s1 | tests/optimality.py:score_plan / pin_result | closed: owner deferred to catch-up batch; re-route then (owner D3-s3)
D0-s1 | custom_components/heatpump_optimizer/optimizer.py:HeatPumpOptimizer._solve_space / _co_optimize | closed: closed by D0-s3 non-finding (M6/M7 measured by the owner: step 0 moves 1.197->1.200 kW in the largest cell, none in the other two); D0-s1 non-finding (horizon not reachable)
D0-s2 | custom_components/heatpump_optimizer/optimizer.py:_multi_start_minimize | closed: closed by D0-s3 non-finding M6/M7 (receding-horizon realisation measured by the owner) and D0-s2-01/02, which carry the step-0 change
D0-s2 | custom_components/heatpump_optimizer/optimizer.py:HeatPumpOptimizer._terminal_cost | closed: closed by D0-s3 non-finding M7 (terminal-credit share at 6 h measured by the owner)
D0-s3 | custom_components/heatpump_optimizer/optimizer.py:_multi_start_minimize / HeatPumpOptimizer._solve_space seed set | closed: closed by D0-s1 non-finding: two-zone winter grid gap within 0.54 %, step 0 unchanged
D0-s3 | custom_components/heatpump_optimizer/optimizer.py:_multi_start_minimize seed set | closed: closed by D0-s2-02 (same seed-set gap on shoulder/summer_negative cells)
D1-s1 | custom_components/heatpump_optimizer/coordinator.py:HeatPumpOptimizerCoordinator.async_run_optimization (:5096 _record_quiet_comfort_period) | converted D1-s2-51 (quiet_solve_failed=3/3 with plan published; fence arm 0)
D1-s1 | custom_components/heatpump_optimizer/coordinator.py:_async_update_data (:4677 _async_watch_learning_drift guard); _async_load_accuracy (:7270-7283) | closed: closed by D1-s2 non-finding M2 (owner measured the from_dict chain: no sibling store lost at this baseline); the DEBUG heartbeat log is the documented guard level
D1-s1 | custom_components/heatpump_optimizer/coordinator.py:_async_save_ledger / _async_save_thermal_learning / _async_save_price_model / _async_save_energy_totals | converted D1-s2-52 (5 of 5 writers lose persisted state; --after-read / --wait arms 0)
D1-s3 | custom_components/heatpump_optimizer/coordinator.py:HeatPumpOptimizerCoordinator._apply_action | converted D1-s2-51 (arbiter_cycles_failed=3/3, arbiter_skipped_steps=15/15; fence arm 0)
D1-s3 | custom_components/heatpump_optimizer/services.py:SERVICE_SCHEMA_SET_AWAY | closed: closed by D1-s3-01 (tz-less return_time reaching the coordinator is that finding's mechanism)
