round	id	severity	class	mechanism_summary	production_files
R1	D1-01	critical	P1	Corrupted ledger month wedges every update cycle (from_dict accepts malformed lines)	ledger.py
R1	D1-04	medium	P6	Weather fetch failure fabricates flatlined zero forecast forever, no staleness flag	coordinator.py
R1	D1-05	medium	P1	Corrupted snapshot accuracy field crashes drift-rollback path	coordinator.py
R1	D2-01	medium	P5	sysid.identify() over-estimates UA under sensor noise; adoption gate rewards drift	sysid.py
R1	D4-04	high	P8	Hardcoded SEK in config-flow labels and Repairs notices despite currency-agnostic price data	config_flow.py
R1	D4-01	critical	P9	Card chart SVG text renders at 3.19px glyph height on phone width	card.js
R1	D4-02	high	P9	Single-point series render nothing while legend chip still reads active	card.js
R1	D4-03	high	P9	Estimated prices label overlaps lane-row labels	card.js
R1	D4-06	medium	P9	Projected savings headline discloses baseline only via hover tooltip	card.js
R1	D7-01	critical	P2	10,041-line coordinator class; state is the coupling across 249 methods	coordinator.py
R1	D7-02	high	P5	sysid fits first-order plant to >=2nd order house; wrong-signed coefficient on target houses	sysid.py
R1	D7-03	high	P10	Scalar vs batch physics ~720 duplicated lines kept identical only by _grad_parity	thermal_model.py
R1	D7-04	medium	P6	last_buffer_trajectory side-channel: scalar writes, batch doesn't; latent stale-read trap	thermal_model.py
R1	D7-05	medium	P2	Freeze-gate asymmetry: _accuracy.record() gated only on pump signals, not open-window	coordinator.py
R1	D9-01	critical	P10	Batched gradient bypassed on 38/39 DHW golden scenarios; ~40x slower solve	optimizer.py
R1	D9-02	high	P10	Solve in executor starves HA event loop 75-76% of solve wall time (GIL)	coordinator.py
R1	D10-06	critical	P2	async_shutdown() drops super(); base coordinator timer/debouncer leak on unload	coordinator.py
R1	D10-07	high	P6	Tibber fetch failures swallowed; last_update_success never flips	coordinator.py
R1	D10-01	high	I5	Services registered per config-entry not in async_setup (HA quality rule)	__init__.py
R1	D10-02	high	I5	hass.data[DOMAIN] everywhere; ConfigEntry.runtime_data never used	coordinator.py
R1	D10-03	high	P2	No duplicate-entry protection in config flow	config_flow.py
R1	D10-08	high	P2	No reauthentication flow for Tibber token	config_flow.py
R1	D10-12	medium	I5	No diagnostics platform for 149 published keys, incl. token	(none)
R1	D10-13	low	I5	64 hardcoded _attr_icon, zero icons.json	sensor.py
R1	D0-01	medium	P4	All three L-BFGS-B starts cluster in one basin; bang-bang start reaches cheaper plans	optimizer.py
R1	D0-02	low	P4	_MULTI_START_SOLVES=2 discards a candidate that refines below the shipped result	optimizer.py
R1	D3-01	critical	I1	Compressor-cycling penalty deletable, vacuous even in its titled test	stress.py
R1	D3-02	critical	I1	COP-learner trust-region clamp deletable; full closure passes	curve_learning.py
R1	D3-03	high	I1	ECL110 first-order lag physics deletable, asserted nowhere	ecl110.py
R1	D3-04	high	I1	COP-degradation repair text claims full monthly bill for 1% shortfall, only keys checked	coordinator.py
R1	D3-05	high	I1	pump_mode_unreadable notification path made a no-op, nothing notices	coordinator.py
R1	D3-06	high	I1	climate.hvac_action hard-coded wrong value, zero test references	climate.py
R1	D3-07	medium	I1	Grid-fee day-range wrap-around branch deletable, no string exercises it	grid_fee.py
R1	D3-08	medium	I1	Config-flow DHW deadband validation permanently disabled, no test notices	config_flow.py
R1	D5-01	high	I5	configuration.md missing four real always-asked fields	docs/configuration.md
R1	D5-02	high	I5	configuration.md field counts wrong (21 actual vs 17/18 documented)	docs/configuration.md
R1	D5-03	medium	I5	architecture.md module map omits pump_mode.py/pump_signals.py	docs/architecture.md
R1	D5-04	medium	I5	plan-open-issues.md lists six shipped issues as open	docs/plan-open-issues.md
R1	D6-01	medium	I5	manifest.json documentation/issue_tracker/codeowners point to 404 GitHub identity	manifest.json
