finding	seat	vote	severity	own_number
D1-01	v1	verify	high	5 of 5 cycles raise under a STRICTLY-VALID RFC8259 payload (JSON string "nan"); store_rewritten_between_cycles=0; finite control 0 of 5
D1-02	v1	verify	medium	wrong plan_age_minutes survives exactly 1 published payload of 3; retained 63975 json bytes; async_remove_entry not defined
D1-03	v1	verify	high	13 of 56 (silence x back-step) cells are watchdog misses; 0 of 7 at zero step; misses rise monotonically 0,0,0,1,2,2,3,5
D1-01	v3	verify	high	exhaustive census: 1 of 1199 store positions wedges 3 of 3 cycles under all 3 strict-RFC8259-reachable encodings; finite control 0 of 1199; setup-path also raises
D1-02	v3	weaken	low	2 of 160 payload keys contradicted for exactly 1 cycle; 0 service calls while it stands (vs 3/cycle once solves resume)
D1-03	v3	weaken	medium	reported age = true age - delta exactly; first stale verdict slips 0 -> 90/1290/9930 min for delta 4h/24h/7d; real backward steps are sec-to-min
D2-01	v3	verify	medium	dense grid 140 of 140 flows violate full range, 115 of 140 in band; carnot_off 0 of 140; batch-implied marginal COP reproduces to 1.8e-11 and is itself non-monotone
D2-02	v3	verify	high	drove production PeakTracker.observe: meter disagrees with window_factors 70x, with _utc_step_starts 0x; goldens 0 of 27 move; 172 of 288 solve anchors affected
D2-03	v3	verify	high	model-level ua_scale after real _adopt_system_identification: -9.66%/-14.53% (not 13-25%); clamp_binding=False on every cell; null sigma=0,d=0 recovers 0.99999981
D1-01	v2	verify	high	4 of 4 strictly-valid-JSON payloads wedge on BOTH loader routes; finite control 0 of 3 both; 3 restarts, thermal_store_saves=0, disk n stays nan
D1-02	v2	verify	medium	frozen age carried by 1 of 3 published cycles; 5 unloads leave 1 entry (2 with a 2nd entry); 0 actuations, but stale guard disarmed and 3 calls if acted on
D1-03	v2	weaken	medium	blind window = max(0, S-A) over 187 cells: 180/60/0/0 min at A=60/180/300/600; at A=600 all 11 flagged and 4 of 4 learners freeze WITH NO FIX
D2-01	v1	verify	medium	max inversion gap 0.19650 COP in heating band; implied 2nd-law efficiency collapses 31.23% peak->+20C; carnot_off 0 of 7; 6/7 at -20..20, 1/7 at -20..10
D2-02	v1	weaken	medium	money arm is definitional not measured (unpriced_per_kw exactly +20.0000 at 1/3/9 kW = the tariff price); 172 of 576 starts = 0.98% of a year's solves
D2-03	v1	verify	high	different plant/integrator/init: -0.2087 at d=0.05 (95/100 adopted), -0.4397 at d=0.10; quantised 0.1C sensor -0.4309 at 100/100; coordinator writes scale 0.6627
D2-01	v2	verify	medium	2938 of 471016 real compute_cop invocations during 10 live 48h solves are inverted; 0 of 100620 carnot-off; monotone repair moves a plan by 4.67 kW / 6.71 K
D2-02	v2	weaken	low	affected_solves = 0 of 17520 for all four shipped Swedish DSO products at the real 30-min cadence and the real 24h horizon; direction splits 52/52
D2-03	v2	verify	high	pure 0.1C quantisation, no Gaussian: -0.1522 at d=0.05 (20/20 adopted), -0.2742 at d=0.10 (19/19); drift_hat collapses to <=0.0033 while null column recovers it exactly
D7-01	v3	verify	high	sizing_overprediction 10.920 worst -> 1.221 under perturbation; step_power_saturated_cells=0; REAL _adopt gate: 0 of 9 and 0 of 33 on a widened grid
D7-02	v3	verify	medium	value-poison reader (catches vars/__dict__/f-string/pickle by construction): live_touches=0 vs positive control 4; last_buffer_trajectory in NO production file
D7-03	v3	weaken	low	fed a physically consistent stopped-compressor reading (0Hz/0W) folds=0 on every arm; exposure cuts from 2 learners x 5 arms to 1 x 1 (cooling)
D7-01	v2	weaken	medium	FAILS CLOSED: 0 of 9 adopt and 9 of 9 leave house_heat_loss_scale at exactly 1.0 (the passive learner owns the same quantity); fail-open only 2 of 9 at 0.10C noise, 5.42-5.70%
D7-02	v2	weaken	low	REBIND not leak: growth exactly 0 bytes over 20 solves (positive control +7296); guard kills 0 of a NEW side channel it forbids while killing 1 of the name it checks
D7-03	v2	verify	medium	commanded_hz_delta 10.0 Hz on pump_cooling (65->55, a full decile) at only a 1.05 kW ratio; 4 of 5 arms inert; SIXTH unfiled arm stale:power_entity folds 60 of 60
D7-01	v1	verify	high	sizer_overprediction 10.80 worst (null exactly 1.00 on 9/9); capacity_ratio 4.14x; end-to-end adopted_scale_shift_cells=0 of 9; 5.70% wrong at 0.10C noise
D7-02	v1	weaken	low	orphan_published_attributes=1 over a 365-file reader net (AST + raw text, all file types); retained 768 B on one object; guard is SLOW=1-only
D7-03	v1	verify	medium	freq_map_folds_while_frozen 5 of 5 by CLASS-method wrap; map has NO mode dimension (decile index only); fold has no mode gate so observe-mode users inherit it
D9-01	v2	weaken	low	work-weighted share is 0.38159 not 0.560532 (mean-of-ratios sold as a share of work); the perturbation COSTS +14.236 SEK/day, +11.678 on 2z/winter_typical alone
D9-02	v2	verify	medium	wall 2.433x (worse than the 2.000x count) +155ms loop CPU, 116ms contiguous block; but it does NOT land in async_setup_entry; only fuse>16A installs
D9-03	v2	weaken	low	h4 failed its OWN >=5x criterion on a thrashing box (1.06x, idle null 0.661); own real-path harness reproduces 0.888-0.913; state raises a persistent repair issue + WARNING/cycle
D9-04	v2	weaken	low	ps-RSS did not reproduce (33,024 KiB); ps swings 2.6x on identical work while vmmap footprint holds to 2.2%; reaping COSTS 4.8-9.7s Pi wall per cycle
D9-01	v3	weaken	low	pooled share 0.38159; PERMUTATION NULL 0.416872 [p05 0.3177, p95 0.5143] - observed sits INSIDE the interval and BELOW the null mean: no measured excess redundancy
D9-02	v3	weaken	low	2.000x exact; but the shadow solve goes through the PROCESS WORKER so never touches the loop thread; DEFAULT_MAIN_FUSE_A=0 so not a default-install cost
D9-03	v3	weaken	medium	quiet re-take 0.8978/0.8957 (top of band), own instrument 1.0000 with an external ticker at 0.0000-0.0417 = positive proof it is the GIL; but GAP_CUTOFF == sys.getswitchinterval()
D9-04	v3	weaken	low	worker RSS after 300s idle: 6,064 and 4,592 KiB, 7-10x BELOW the claimed band; h3 samples at PEAK residency and extrapolates across the idle window
D9-01	v1	refute	info	wasted_work_share=0: no k below 4 is free (k=3 worse in 4/16, k=2 in 6/16, k=1 in 8/16 and moves step-0 in 4); best-scoring candidate wins only 8 of 17 calls
D9-02	v1	weaken	low	the "exactly 2.000x" is an ARTEFACT OF A NON-BINDING CAP: 3-phase caps 11-34.5kW never bind so the shadow solve is a bit-identical repeat; bind it and it is 1.745x / 2.118x
D9-03	v1	weaken	low	first re-run FAILED the harness's own >=5x bar (3.45x) with process_route longest hold 138.4ms > the fallback's 77.6ms; honest contrast is 6-8x, not the ~100x implied
D9-04	v1	weaken	low	marginal is (parent+child)-(parent alone) = 30,960/49,440 KiB, not the child's whole RSS; child is 0.84-1.09x a bare numpy+scipy interpreter - almost no integration code
D11-01	v2	weaken	high	6 of 509 merged PRs DO carry a review object (0/39 is a window property, not a law); APPROVING review unreachable on 506/509; 0 of 39 merges landed with a red required check
D11-02	v2	verify	high	denominator 38 not 37 (Actions 1000-run cap); both numerators exact; 61 of 61 record runs on merged heads concluded SKIPPED; survives a window change (16 of 24 red)
D11-03	v2	verify	high	sets identical to the finder's (F_only=[] V_only=[]); production globs EVALUATED BY NODE; real PR titles not squash subjects; checkPrBody executed 82x
D11-04	v2	weaken	low	private-vulnerability-reporting endpoint returns HTTP 200 {"enabled":true} - the finder NEVER CALLED IT and inferred "off" from a key absent from a block that never carries it
D11-05	v2	verify	medium	a deliberately wider 9-pattern net returns 2 files, the extra matching a sentence that is the OPPOSITE of a boundary; boundary_files=1 survives a net built to break it
D11-01	v1	verify	critical	0 of 3 ruleset rules bind the merging identity; 0 pull_request rules means the ruleset CANNOT ask any actor for a review - arm 1 alone satisfies critical; 510 of 510 merges by the bypassing admin
D11-02	v1	verify	high	own window: record in 36 of 49 red heads, 25 record-only; 70 of 70 record runs on PR heads SKIPPED; #738's record-status failing at merge on 15 of 23 heads, all 15 merged
D11-03	v1	verify	high	0 of 5 candidate mechanisms can refuse an unapproved policy change; CODEOWNERS refutes itself in its own header; stricter measure: 4 of 11 merged with the gate off AND no Approval text
D11-04	v1	weaken	low	private-vulnerability-reporting returns {"enabled": true}; standards.py:184 computes the flag from SECURITY.md existence alone and NEVER queries the endpoint
D11-05	v1	verify	medium	/interaction-limits returns {} - the one setting that would close all five surfaces at once is not set; 5 of 6 surfaces open, measured not inferred; 0 binding boundary statements
D8-01	v2	verify	medium	201-point sweep: productive window 59.7% of the domain, the one reachable value 0.5 sits in the 40.3% dead band; 0 of 175 UI-writable keys; 1 payload key moves
D8-02	v2	weaken	low	42 of 74 entities ungated, no base-class gate; publishes None with no state_class so nothing reaches long-term statistics; real count is 1 not 2
D8-03	v2	verify	low	the three 36s are NOT the same 36 (en/id agree on 12 of 16, sv on 7); random-permutation null 58.59+-2.29, so 36 is 9.9 sd BETTER than chance
D8-01	v1	verify	medium	0 of 4000 seeded shipped configs attach advice; explicit soc=0.5 NULL CONTROL also 0, so the 0->1890 at soc=0.2 is a threshold crossing; 0 writes / 1 read by parse tree; 21 of 21 schemas reject the key
D8-02	v1	weaken	low	value is 1 not 2 (controls excluded by platform, not by argument); inert-gate null control leaves it at 1; mute_on_wood_ready_after_gate=1 - the fix does not help installs that HAVE the feature
D8-03	v1	verify	low	36 reproduces exactly but is list-dependent (single-keyword families give 23); phenomenon survives a mechanical partition at 26; device-page order 26->24 and 36->38, so order-robust
D3-01	v2	weaken	medium	15 of 34 survive (0.441), consequential 10 of 29 (0.345) - not 22 of 34; 7 survivors were KILLED (verdicts.py reads a 1200-char tail) and 5 are equivalent mutants
D3-02	v2	weaken	medium	2 of 4 sensor.py mutants survive, not 4 of 4; entities.py carries 70 native_value references incl. exact equalities, so the universal claim is false
D3-03	v2	weaken	medium	1 of 2 guards unpinned, not 2; accuracy.py:378 IS killed by features.py; but the survivor poisons 24 of 24 shape hours and writes NaN into the store
D3-04	v2	verify	medium	ran the --record-then-green step the finder only asserted: rc=0, cut_fetch recorded at 131, ratchet PASSED with the Open-Meteo fallback still dead
D3-05	v2	verify	low	validate.py kills 0 of 4 arithmetic mutants, optimality.py 2 of 4, the drift gate 3 of 4 - line deletion is the wrong operator and the restraint is right
D3-01	v1	weaken	medium	15 of 34 survive (0.441) - independently, by a different route: 7 of 22 die when re-run in a real checkout where entities.py and features.py are green on the baseline
D3-02	v1	weaken	medium	2 of 4 survive; tests/entities.py carries 63 check sites comparing a published value; M27 fails on entities.py:1059 pinning native_value == 6.4
D3-03	v1	weaken	low	1 of 2; accuracy.py:378 killed by features.py; the half that breaks is the half the report argues hardest
D3-04	v1	verify	medium	ran the whole sequence: structure.py rc1 "cut_fetch 132 131 -1 BETTER" -> --record -> rc0 PASSED, and 11 of 12 closure scripts green with the fallback dead
D3-05	v1	verify	low	closed the provisional gap: edge.py 12 runs 0 kills, backtest.py 12 runs 0 kills, Node lane 0 kills in 39 runs
D0-01	v2	weaken	low	5 UNIFORM-RANDOM starts recover 95.4% of the named family's gap and jittered copies 62.1%; a tolerance-only arm matches or beats the seed superset in 9 of its 15 gap cells
D0-02	v2	verify	low	PERTURBATION EXECUTED FIRST TIME: D0_NO_POLISH=1 gives 0.0000% in 32 of 32 - harness NOT void; but the count is threshold-inflated, honest material count 2 of 32
D5-01	v1	weaken	low	independently lands on the identical 10 fields, but the metric over-fires once and under-fires 3x; adjudicated 12 of 180; "0 doc lines anywhere" is FALSE (wood documented in 2 superpowers records, 48 lines)
D5-02	v1	verify	low	hunted every false-positive vector and found none; card-local rule gives 19/14, one ABOVE the finder; all seven line numbers exact
D5-03	v1	verify	low	instance verified at both ends; a wide link scan adds 13 shapes and zero further breakage, so 1 of 338 is a real rate not instrument reach
